sample_size,trial,mi_empirical,mi_miller,mi_chao
128,0,1.0,0.39453125,0.572085656430673
128,1,1.0,0.421875,0.5864181743715853
128,2,1.0,0.41796875,0.49007284734791084
128,3,1.0,0.375,0.6692188778992764
128,4,1.0,0.390625,0.5981577192514471
128,5,1.0,0.390625,0.6668949079402917
128,6,1.0,0.37890625,0.5309702888712017
128,7,1.0,0.4296875,0.47430946493848325
128,8,1.0,0.421875,0.6876140992086999
128,9,1.0,0.3828125,0.6144093424479415
128,10,1.0,0.3828125,0.5647056143758257
128,11,1.0,0.4140625,0.5364531801388963
128,12,1.0,0.4140625,0.5890260556431305
128,13,1.0,0.40234375,0.46851265233678974
128,14,1.0,0.3671875,0.6367981464368002
128,15,1.0,0.38671875,0.6044497873737813
128,16,1.0,0.38671875,0.41174411648715864
128,17,1.0,0.3828125,0.41428868318270007
128,18,1.0,0.3984375,0.5020926011477164
128,19,1.0,0.40625,0.5122931159527523
128,20,1.0,0.40625,0.5548291248632669
128,21,1.0,0.4140625,0.5468391562183228
128,22,1.0,0.390625,0.5580874940616165
128,23,1.0,0.4296875,0.6014637470748976
128,24,1.0,0.3828125,0.6394268455938915
128,25,1.0,0.390625,0.6389312239358457
128,26,1.0,0.41015625,0.5870130583208637
128,27,1.0,0.37109375,0.4605050328097706
128,28,1.0,0.390625,0.5131698490424016
128,29,1.0,0.41015625,0.7215224459628854
256,0,1.0,0.5390625,0.6179909728160535
256,1,1.0,0.541015625,0.5968448339431214
256,2,1.0,0.541015625,0.6466065381981663
256,3,1.0,0.564453125,0.5372058628923648
256,4,1.0,0.533203125,0.6269849201948624
256,5,1.0,0.560546875,0.5605369578512627
256,6,1.0,0.53125,0.5438086546981411
256,7,1.0,0.52734375,0.5759517425654933
256,8,1.0,0.55859375,0.5586034423543866
256,9,1.0,0.54296875,0.6324838127891859
256,10,1.0,0.548828125,0.5612122874046479
256,11,1.0,0.552734375,0.576268702101022
256,12,1.0,0.55859375,0.5770596728453199
256,13,1.0,0.533203125,0.5948021742408002
256,14,1.0,0.537109375,0.6316381420197577
256,15,1.0,0.552734375,0.5953458103893154
256,16,1.0,0.544921875,0.6304402159950859
256,17,1.0,0.5546875,0.5872208471256183
256,18,1.0,0.54296875,0.6043201769261147
256,19,1.0,0.55078125,0.5726927706497368
256,20,1.0,0.55859375,0.5643316362691495
256,21,1.0,0.51953125,0.6425014078797654
256,22,1.0,0.54296875,0.5958287700574799
256,23,1.0,0.537109375,0.6748881488899917
256,24,1.0,0.5546875,0.6053756455954438
256,25,1.0,0.548828125,0.5634342667013318
256,26,1.0,0.55078125,0.5760969508986264
256,27,1.0,0.541015625,0.613135394779234
256,28,1.0,0.529296875,0.6291551919922845
256,29,1.0,0.5390625,0.5918038338962246
512,0,1.0,0.6904296875,0.6644051168790516
512,1,1.0,0.685546875,0.694459357953928
512,2,1.0,0.6767578125,0.6509606187822506
512,3,1.0,0.689453125,0.6619412682380896
512,4,1.0,0.6875,0.7773940897529984
512,5,1.0,0.673828125,0.7245049762276756
512,6,1.0,0.6806640625,0.6589368086211738
512,7,1.0,0.673828125,0.7135811178824066
512,8,1.0,0.6728515625,0.6599019987831473
512,9,1.0,0.6953125,0.6626832690859528
512,10,1.0,0.6767578125,0.6448594293697185
512,11,1.0,0.6826171875,0.6521030191338897
512,12,1.0,0.7001953125,0.6759665900201265
512,13,1.0,0.6806640625,0.7563065108238759
512,14,1.0,0.701171875,0.6665885603624434
512,15,1.0,0.6728515625,0.6487978246391656
512,16,1.0,0.6884765625,0.7309321877413881
512,17,1.0,0.677734375,0.6880893687686715
512,18,1.0,0.6689453125,0.6586853164743163
512,19,1.0,0.6806640625,0.6598142270875957
512,20,1.0,0.6904296875,0.7154478300419647
512,21,1.0,0.671875,0.6681961289325308
512,22,1.0,0.677734375,0.696434771037938
512,23,1.0,0.6767578125,0.7720939713490508
512,24,1.0,0.6865234375,0.6797390801738585
512,25,1.0,0.6806640625,0.6410057085429219
512,26,1.0,0.6826171875,0.7622713492013882
512,27,1.0,0.6845703125,0.667143768833087
512,28,1.0,0.6884765625,0.6389683363863342
512,29,1.0,0.6875,0.6757677606534378
1024,0,1.0,0.80322265625,0.8700692087109279
1024,1,1.0,0.79833984375,0.8508202738399556
1024,2,1.0,0.7958984375,0.8074997213578624
1024,3,1.0,0.80419921875,0.7779885887618522
1024,4,1.0,0.79833984375,0.8342308433164358
1024,5,1.0,0.802734375,0.7589924695935782
1024,6,1.0,0.80419921875,0.8342312752679527
1024,7,1.0,0.79541015625,0.7840979187474687
1024,8,1.0,0.81103515625,0.8499576429301813
1024,9,1.0,0.79931640625,0.7909639591831775
1024,10,1.0,0.796875,0.8341027310310769
1024,11,1.0,0.8056640625,0.8811753024195103
1024,12,1.0,0.7978515625,0.8424196483315558
1024,13,1.0,0.80078125,0.7745912364909925
1024,14,1.0,0.8037109375,0.8242491954343104
1024,15,1.0,0.79931640625,0.7925218621228779
1024,16,1.0,0.79248046875,0.8357374802332502
1024,17,1.0,0.7978515625,0.8078323074623529
1024,18,1.0,0.80029296875,0.7733412761166656
