Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N,HyLeak
15,0,1.6342981784054582,2.5579268345435557,1.651497267323027,2.5748640603246016,2.5625237793108635,2.564343006891262,2.5945328392071807,2.5956827065714605,2.719714955682968,1.721714955682968,2.4693653206793336,1000000,2.464376818587584
31,0,2.197542327566135,2.5200323184079942,2.208144148668638,2.5305843894666724,2.533688049785748,2.5437998978890937,2.546399314537953,2.556821393253408,2.592739621973723,2.1098363961672715,2.4693653206793336,1000000,2.462719193026923
62,0,2.535700048842839,2.5364337097575227,2.537845798344947,2.537812846042743,2.442745610529728,2.5103424287170246,2.447011005975434,2.514636767686925,2.529861967591347,2.2884103546881214,2.4693653206793336,1000000,2.4673637233310393
155,0,2.492953876757657,2.492977585522669,2.4936887612269696,2.493693264507684,2.4755540087240444,2.4922280950778344,2.475633181853516,2.492315479943202,2.492846931491301,2.3962662863300106,2.4693653206793336,1000000,2.4661419379194225
15,1,1.6565184450151251,2.586107208315521,1.6735411819454034,2.6018988987522027,2.581913056951248,2.583932081343405,2.6109522437205555,2.612025483556784,2.725603576195849,1.7276035761958488,2.4693653206793336,1000000,2.464037108119072
31,1,2.1101236721571026,2.515867686289729,2.118569427841404,2.5241439182726637,2.5469886641853208,2.546562226082858,2.562178397132732,2.5620296172834385,2.5976986568339626,2.114795431027511,2.4693653206793336,1000000,2.4661136676993336
62,1,2.539449981184343,2.5376168310092466,2.539176795536697,2.53919060710592,2.446918918012481,2.513573381769795,2.451919278696022,2.5184992956582217,2.532673450511433,2.291221837608207,2.4693653206793336,1000000,2.4664682721926527
155,1,2.495716997607216,2.4952149683008558,2.496159862800257,2.4961597456356186,2.399084869535204,2.494489737918182,2.399089629841249,2.4945016319712323,2.495272501886073,2.3986918567247826,2.4693653206793336,1000000,2.4668681539460797
15,2,1.6328497252876144,2.553456289874151,1.6473295169200588,2.5700769370952474,2.5684240869683714,2.570792370089968,2.602605877003336,2.603808430960173,2.719855577070281,1.7218555770702813,2.4693653206793336,1000000,2.469978235918544
31,2,2.113669225378919,2.505057088909508,2.1226449274936914,2.51406917299782,2.5248075509434247,2.5350222243261737,2.538204348263351,2.5485146423995797,2.587707198706112,2.1048039728996604,2.4693653206793336,1000000,2.4680545188765084
62,2,2.5336544866867325,2.532552115032048,2.5355127259107757,2.535485667551927,2.439612922993574,2.5067227233893905,2.443443266221633,2.510503421228767,2.528000537793771,2.2865489248905453,2.4693653206793336,1000000,2.466501692925303
155,2,2.478099933321149,2.4917346615028344,2.4788464396170755,2.4924687267911727,2.4757644181176217,2.4919264267879075,2.47580702821786,2.491960207196973,2.492393317178889,2.3958126720175987,2.4693653206793336,1000000,2.4682515917319385
15,3,1.63295298299964,2.5579327237523883,1.647321136357646,2.572007143228111,2.5624280662759333,2.563346627210456,2.592212238989794,2.593376359163757,2.7181208712449667,1.7201208712449667,2.4693653206793336,1000000,2.464358415212728
31,3,2.2907346482350475,2.508960255498235,2.3018218009991074,2.519515760142398,2.528562179484798,2.538937929766159,2.544283340953672,2.554667360523277,2.590315227057399,2.1074120012509474,2.4693653206793336,1000000,2.463908424967547
62,3,2.535559782468958,2.535910049081608,2.538352399228613,2.5383882220793805,2.44197042007784,2.5090760389103037,2.4471092265381698,2.5140557417762426,2.5291075127652887,2.287655899862063,2.4693653206793336,1000000,2.4670395304504584
155,3,2.477402372891837,2.4911140063102155,2.478154540512703,2.4918143419635954,2.3964027334317817,2.491819242957605,2.396406550899381,2.4918160266142544,2.4919947967596885,2.395414151598398,2.4693653206793336,1000000,2.4683283380697048
15,4,1.6417221127871486,2.566390358227103,1.6568976437696017,2.5811466647879397,2.577120822710459,2.578620364120602,2.6104099541672783,2.6118809091560444,2.7294753670986296,1.7314753670986296,2.4693653206793336,1000000,2.467889520302296
31,4,2.3995568815107853,2.517728109208351,2.412813782255774,2.531270893447638,2.5299167450862754,2.5402488589018706,2.5443211788829467,2.55482776624039,2.5914904793414166,2.108587253534965,2.4693653206793336,1000000,2.4661480980561135
