Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,HyLeak
16,0,1.4159157635490371,2.257689931410161,1.0299059088757967,1.3633290608087545,1.5368227747555108,1.536820923307107,1.5355571395450185,1.535601274136636,2.1368784247937107,1.1690744697155857,1.2958793655776455,2.137253166758848
32,0,1.3794891007611432,1.833011395758712,1.1466714188154843,1.318793195811281,1.3635785133734066,1.3635406546716853,1.363199692612047,1.3632323984932873,1.7767903038768311,1.2928883263377688,1.2958793655776455,1.7666775876314769
64,0,1.345139564418404,1.5830286950162582,1.2252035463926618,1.307965195914812,1.3272941612766709,1.3272946890314024,1.3272596355831083,1.327253029450471,1.5671957687378608,1.3252447799683296,1.2958793655776455,1.539404996551848
160,0,1.3892595772614804,1.4639666430191518,1.5233188027003373,1.523318744147928,1.318887975040933,1.3188888092867426,1.3188710365648173,1.318870964641537,1.408193650412116,1.3114132549043034,1.2958793655776455,1.394414733400856
16,1,1.3740153848637742,2.23878959952346,1.0206742692419,1.3954948416246538,1.5627196953638691,1.5626227492446014,1.5611557228177473,1.5612002342167923,2.140741595567671,1.172937640489546,1.2958793655776455,2.1323941826954025
32,1,1.390443554207777,1.844784528419812,1.162955727485992,1.3406762575981084,1.3769536938279463,1.376943388389475,1.3766167107894691,1.3766052348746711,1.789482389593525,1.3055804120544623,1.2958793655776455,1.76002353399242
64,1,1.3424337727800195,1.5805586883066078,1.2246214362127543,1.3075950131495244,1.3278638570827157,1.3278526743005534,1.3278924514241237,1.3278919676589502,1.565640158540491,1.32368916977096,1.2958793655776455,1.549237480783361
160,1,1.396589207439858,1.4697014036414269,1.5286826496981445,1.5286826915338585,1.3272574924133194,1.3272591039869766,1.327251813548508,1.3272516282963802,1.4125290016985748,1.3157486061907622,1.2958793655776455,1.392486285116304
16,2,1.3679715780757031,2.2344469879117685,1.0202672766414715,1.3901656809615024,1.5654820511809877,1.5654368636345846,1.563601407930266,1.563619558709777,2.138427838954253,1.1706238838761278,1.2958793655776455,2.112989181910762
32,2,1.3676596570846042,1.8231753135051727,1.1424265857935694,1.3165995065468052,1.362022469724001,1.3620364883008962,1.3615156840151832,1.3614963735688843,1.7702751109622898,1.2863731334232271,1.2958793655776455,1.7788740281533637
64,2,1.3350941796703413,1.574080449244864,1.2802690448070422,1.329171587140866,1.3281519441735232,1.3281299621072418,1.3279897503968026,1.327990921693747,1.5622060789980434,1.3202550902285122,1.2958793655776455,1.541355973396897
160,2,1.3777804568104988,1.4569047083075048,1.5153707457121,1.5153703454101035,1.3214185003105487,1.321419249153845,1.321414340877027,1.321413885039049,1.4070170906858284,1.3102366951780158,1.2958793655776455,1.3890137069566382
16,3,1.3648817741051331,2.22970315397969,1.0127955319601551,1.3795436372332273,1.5482659513340689,1.5482313604747764,1.5462936690921756,1.5463031166935344,2.130999372480021,1.163195417401896,1.2958793655776455,2.120533973987929
32,3,1.3927695331325418,1.84599367993412,1.163671757329353,1.3370574521830882,1.379129602570652,1.3791637712692697,1.3790728812798128,1.3790818030880998,1.7890714004100978,1.305169422871035,1.2958793655776455,1.7723407187092275
