Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N,HyLeak
8,0,0.5324192984857649,1.1088598409054269,0.5407671635073988,1.1169422569361445,1.483786201633884,1.4855923834638132,1.4852034589385554,1.486439201559503,1.960173363714797,1.0263354730897971,1.100368150143142,999936,1.9705331631515455
16,0,0.7240676494107526,1.1048047212235634,0.7283413712387662,1.1088391042890875,1.2399756276609055,1.2401532148298036,1.241401260003683,1.2413977934857494,1.585492119516708,1.118573174204208,1.100368150143142,999936,1.5916627020228848
32,0,0.8771501674662724,1.0918578303721869,0.8782271372939326,1.0929560175663524,1.1740646560819574,1.1741151960520757,1.174531023979903,1.1745491009517417,1.3643005340026848,1.1308410613464348,1.100368150143142,999936,1.3565126340696416
80,0,1.2086850540972591,1.2086690110610985,1.2152605559315215,1.2152603170469076,1.1421282827791024,1.1421569672361358,1.1422159942044856,1.142252269493381,1.2083249712112911,1.1149411821487911,1.100368150143142,999936,1.2042029749209684
8,1,0.5093776318049811,1.0917301823383512,0.5177799918903756,1.099890988967546,1.448831335623932,1.4495065105620777,1.4446581494809292,1.4462762914242115,1.9408893737282276,1.0070514831032271,1.100368150143142,999936,1.9380409229694817
16,1,0.6814332018987467,1.0536190008901671,0.6841496459489009,1.056607819993877,1.228177930562817,1.2283754397435025,1.2265453554719663,1.2265072050303774,1.5731368505081225,1.1062179051956225,1.100368150143142,999936,1.5999854355893528
32,1,0.8796238892601563,1.094904221607204,0.880565802974503,1.095827057036196,1.1598926332527617,1.1599219102050529,1.159357572756476,1.159352259139537,1.349699857558777,1.116240384902527,1.100368150143142,999936,1.367193295959065
80,1,1.2168463595176149,1.2169163356559738,1.223053718898102,1.2230528128310083,1.141939778989448,1.1419399792830331,1.141942869136824,1.141947838375473,1.2056491294648914,1.1122653404023914,1.100368150143142,999936,1.2101041392405325
8,2,0.4950554945272379,1.022977854854935,0.5008413245259956,1.028798739840965,1.4859834581844438,1.4879570388070062,1.4821792844603447,1.4836238351437423,1.9532480629895268,1.0194101723645268,1.100368150143142,999936,1.9293328928046671
16,2,0.6972383731903852,1.067876359402302,0.7010689829027349,1.0718605850577965,1.2384368591761374,1.2384212957270924,1.2373285764009174,1.2373115124378922,1.5770792580984745,1.1101603127859745,1.100368150143142,999936,1.5874274397952652
32,2,0.8908735690476374,1.1059159789731614,0.8922152121048514,1.1071492497750528,1.1735801818963367,1.17366284153933,1.1736211159006842,1.1736177432101038,1.365286164643015,1.131826691986765,1.100368150143142,999936,1.3449229880353697
80,2,1.2363334734230746,1.236389008306992,1.245038631612836,1.245042754302054,1.149152424306768,1.1492021655459328,1.149183537716001,1.1492254475036978,1.219485251807261,1.126101462744761,1.100368150143142,999936,1.2032928958219005
8,3,0.5585653157543208,1.1204055572012932,0.5667663614598433,1.128023084416036,1.516308094695244,1.5179031024626828,1.5132039284644183,1.51434640840258,1.9848101249448025,1.0509722343198025,1.100368150143142,999936,1.9773043628417188
16,3,0.719260753308678,1.092663406643228,0.7226279561045471,1.095855393969217,1.262651554683328,1.2627683439456183,1.2629075634944789,1.262933554049917,1.607733971968293,1.140815026655793,1.100368150143142,999936,1.611654379736784
32,3,0.8880200795585006,1.1029150957319929,0.8890892400402856,1.1040565524798829,1.1800558103328898,1.1801437409333928,1.1796324960867866,1.1796658538268416,1.3634235840622964,1.1299641114060464,1.100368150143142,999936,1.3324642933999253
80,3,1.0734145315686952,1.1488081303249835,1.073602983483552,1.1490242865810565,1.14818189502582,1.1482181003442649,1.148188113288778,1.1482325873414867,1.2103258473580203,1.1169420582955203,1.100368150143142,999936,1.1865777271898676
8,4,0.4777304449377775,1.0605298070849971,0.4848583591399718,1.0670975350914251,1.4136257686143106,1.415566453458715,1.4128345812293608,1.4142977662037797,1.921968921544484,0.988131030919484,1.100368150143142,999936,1.9325767615775988
16,4,0.6584471152495311,1.0281816276274942,0.6614547040900596,1.0314675894866705,1.209717610985445,1.209535111738912,1.208611701527857,1.208588107508678,1.5505824475912178,1.0836635022787178,1.100368150143142,999936,1.559732996170232
32,4,0.8924424352600504,1.108107991364742,0.8931999804767509,1.1088690633213214,1.168733467910717,1.1687814306655246,1.1683134638375996,1.1683589279776372,1.3562500207073498,1.1227905480510998,1.100368150143142,999936,1.354378817184758
80,4,1.2044489517565078,1.204426227972898,1.2104946071163063,1.2104944501816288,1.1340118306373257,1.1341068570994095,1.13403620166052,1.1341287372140625,1.1926102528564746,1.0992264637939746,1.100368150143142,999936,1.202207604370234
8,5,0.471506793783387,1.0386137268987077,0.480580426783129,1.0478409446846328,1.4204296183256973,1.421439935933258,1.414968734572548,1.4165658301389883,1.907728479125323,0.9738905885003232,1.100368150143142,999936,1.970142249413115
16,5,0.6647777536177427,1.037082638080519,0.6691231273187432,1.040907972304987,1.1813610917483055,1.1814081388344178,1.1806579750511497,1.1805558854448095,1.5453552382484652,1.0784362929359652,1.100368150143142,999936,1.5502760453401014
32,5,0.8632713568781202,1.0777028773975383,0.864168684654815,1.0786636130289418,1.161211589532136,1.161314823081112,1.1605777603030063,1.1606021873304286,1.3571580706957933,1.1236985980395433,1.100368150143142,999936,1.3411731576397923
80,5,1.2240591676799226,1.224307951972746,1.2322910560695006,1.2322845130377338,1.1409001309478377,1.1408953220437972,1.140952847330907,1.140954226696725,1.2037060755282578,1.1103222864657578,1.100368150143142,999936,1.2256092032666388
8,6,0.5686200524304689,1.1257491300489282,0.5774133772250276,1.1349816781017572,1.5059794444569414,1.5066438316401465,1.5018960415478142,1.5032681980577658,1.9826607734338024,1.0488228828088024,1.100368150143142,999936,1.9780571217585052
16,6,0.7224695361003364,1.0977052143123047,0.7261172730802953,1.1010841296759812,1.2598761964409533,1.2594924483069174,1.2595423562570478,1.2595735488846604,1.596810748303243,1.129891802990743,1.100368150143142,999936,1.5473824397350926
32,6,0.8750335918888631,1.0896114778436934,0.8761250126194132,1.0908062365227555,1.1564352375404916,1.1564496183633766,1.1563824085262338,1.1563762571208571,1.357146351554838,1.123686878898588,1.100368150143142,999936,1.352215931927223
80,6,1.2242545060739345,1.2243903076743166,1.2330165532111197,1.2330168060289683,1.1400390350920104,1.1400867878097654,1.1399918006922256,1.1400275274098608,1.20553444427284,1.11215065521034,1.100368150143142,999936,1.2155296710995211
8,7,0.5283546201113041,1.0700410623092216,0.5354259036595345,1.0776677226820215,1.4890587366152574,1.4909500880358229,1.4886275152992712,1.4899432106629311,1.9633443672943145,1.0295064766693145,1.100368150143142,999936,1.9372028166606907
16,7,0.7162759973140729,1.0965841380289545,0.719925812347107,1.1003566397412985,1.266080803938657,1.2662138205078837,1.2663424547928808,1.2662518089130022,1.5773737716282057,1.1104548263157057,1.100368150143142,999936,1.5668122957699544
32,7,0.8768821807567269,1.0916538956215176,0.8781681361763326,1.0927718680647538,1.1817540251473524,1.1816854741207596,1.1821339570380929,1.1821567064862146,1.36445008533141,1.13099061267516,1.100368150143142,999936,1.3573772513127458
80,7,1.2336901275689236,1.2339292003692786,1.242292414298449,1.2422907802319874,1.149829168789915,1.1498796401295688,1.1498521249227498,1.1498851571811646,1.2134656992660853,1.1200819102035853,1.100368150143142,999936,1.1947015603624838
8,8,0.5092904953719259,1.1041606912071913,0.5173396779341923,1.1125967648215405,1.4353290911740193,1.4363700695034476,1.432773254789379,1.4340080359700955,1.938957280730756,1.0051193901057562,1.100368150143142,999936,1.9570607961737991
16,8,0.6941761872216303,1.0739399396863685,0.6977902022127899,1.0772544036759482,1.253416305816267,1.253520793965049,1.2531776085256228,1.2532448064096398,1.5737151426325928,1.1067961973200928,1.100368150143142,999936,1.571912496432518
32,8,0.870079370987104,1.0851031455643552,0.8711086469519456,1.0861160432558716,1.172662183370606,1.1726152016571023,1.172811583791991,1.1728677419910938,1.3518232978341125,1.1183638251778625,1.100368150143142,999936,1.360947613007235
80,8,1.2062691248732489,1.2061154233707243,1.2123274254164635,1.2123225097982049,1.144796208477231,1.1447942956357768,1.1447939498967492,1.1447936345072107,1.2000822235920543,1.1066984345295543,1.100368150143142,999936,1.2007070700401703
8,9,0.5435653987581845,1.088612877422829,0.552206766457526,1.0968243371341624,1.4925984220339006,1.494216296751836,1.4908798326117922,1.4920358438105574,1.9678231845791136,1.033985293954114,1.100368150143142,999936,1.9665400527282542
16,9,0.6777142721316305,1.0402360746487018,0.6815491105818926,1.0443966555177224,1.2238136400938453,1.223725778621859,1.222968593946804,1.223044888421177,1.5738971800308743,1.1069782347183743,1.100368150143142,999936,1.5602600716376733
32,9,0.8602601463788074,1.0745759962579116,0.8614016053651844,1.0758138313292582,1.1656690984713736,1.1655517257581565,1.165525578337353,1.1654812213883206,1.3513130673392704,1.1178535946830204,1.100368150143142,999936,1.3518307446933953
80,9,1.2162517598242248,1.2160602045066249,1.224376070492196,1.224370737823662,1.126954736666652,1.1269649981027183,1.1269700532823967,1.1269685338657105,1.1947616394024785,1.1013778503399785,1.100368150143142,999936,1.1984950946327055
