Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller
6,0,107.01524686813354,145.18487691879272,123.83696174621582,138.14979529380798,21.252843856811523,27.906843662261963,30.354448795318604,17.876583576202393,0.002604961395263672,0.004943370819091797
12,0,230.71820425987244,239.90703773498535,241.31967401504517,213.8839771747589,32.52669143676758,34.355135440826416,32.75389647483826,33.26899743080139,0.006402254104614258,0.00641632080078125
24,0,177.1040437221527,197.25034141540527,191.07111859321594,169.83237624168396,26.241031646728516,15.200631380081177,26.454002141952515,19.333669662475586,0.007088184356689453,0.007138967514038086
60,0,213.73235988616943,214.29294681549072,214.7964038848877,214.96581935882568,15.645160913467407,14.816162824630737,15.077209711074829,15.698148727416992,0.007693290710449219,0.007753610610961914
6,1,252.29490637779236,250.09528398513794,247.16530084609985,204.77187728881836,34.111122846603394,34.985684871673584,34.51567530632019,34.43593883514404,0.005669593811035156,0.0057218074798583984
12,1,160.528062582016,158.4736406803131,182.62507605552673,207.06296515464783,33.231621980667114,19.71658992767334,33.57014870643616,22.166951894760132,0.006440639495849609,0.006478786468505859
24,1,201.72693800926208,203.62648248672485,162.62493062019348,203.60205245018005,16.66290259361267,28.8279447555542,17.83780813217163,18.15117311477661,0.007067680358886719,0.0070993900299072266
60,1,215.8770990371704,122.27443766593933,200.47817826271057,216.5009446144104,12.92629075050354,11.25251317024231,13.537863492965698,12.881835460662842,0.004204988479614258,0.004220724105834961
6,2,174.15619206428528,260.173504114151,266.7958755493164,220.47464871406555,32.35138750076294,23.928417921066284,32.78239965438843,19.73518133163452,0.0058519840240478516,0.0060307979583740234
12,2,143.89254784584045,174.97131538391113,194.42078709602356,213.66443037986755,32.03706932067871,32.37032628059387,24.128408193588257,33.70562267303467,0.0064907073974609375,0.006531953811645508
24,2,160.31586289405823,187.426433801651,116.79123711585999,203.79752564430237,26.91489315032959,22.569874048233032,27.38077664375305,27.641878128051758,0.007096767425537109,0.007152080535888672
60,2,118.99156403541565,209.49722528457642,135.2767198085785,144.8860113620758,14.358614921569824,8.589693546295166,15.165149927139282,8.523305892944336,0.007487773895263672,0.00753021240234375
6,3,138.3295476436615,148.85949039459229,165.57156348228455,162.4698281288147,33.65325093269348,21.806700706481934,31.432976245880127,33.33045840263367,0.006093740463256836,0.005910396575927734
